1	412630
104	485706
109	544060
113	498802
118	467900
12	507429
122	523150
127	490805
131	540132
136	528160
140	466778
145	453460
154	452843
159	489509
163	486639
168	437845
17	512533
172	505615
177	487692
181	417927
186	353054
190	458674
195	435797
203	440457
208	457849
21	384614
212	459413
217	406380
221	489301
226	457843
230	390925
235	464484
244	384470
249	508640
253	483385
258	462795
26	557203
262	504010
267	435121
271	526082
276	496807
280	426030
285	524068
294	435562
299	536130
30	482378
302	463945
307	482847
311	508154
316	473987
320	538546
325	497944
334	433028
339	498220
343	452108
348	516303
35	457093
352	488390
357	385241
361	381837
44	524250
49	407104
53	558738
58	509033
6	403667
62	493312
67	545587
71	494922
76	493734
80	505003
85	460401
94	532590
99	477161
100	503211
105	461076
114	500551
119	459114
123	550959
128	509311
13	442541
132	461193
137	533823
141	499524
146	384516
150	510309
155	477247
164	519795
169	467426
173	474408
178	504877
18	543734
182	422480
187	355218
191	474780
196	443449
2	393001
204	465257
209	415239
213	307260
218	448250
22	496005
222	445037
227	473544
231	397350
236	448491
240	444727
245	332266
254	501093
259	444748
263	523123
268	461769
27	470833
272	457888
277	520937
281	459784
286	462766
290	506341
295	466786
303	481728
308	448323
31	531161
312	528447
317	492095
321	464838
326	524547
330	438122
335	398089
344	478456
349	458267
353	496031
358	369596
36	482637
362	391307
40	392006
45	527476
54	584812
59	524890
63	466591
68	562200
7	407363
72	514843
77	458062
81	548247
86	486853
90	447157
95	554436
101	525206
106	481130
110	570929
115	518574
124	554561
129	526752
133	460124
138	535926
14	443650
142	502907
147	336266
151	525606
156	497525
160	441053
165	507938
174	436668
179	506807
183	442300
188	358766
19	510530
192	495023
197	466846
200	515946
205	476404
214	236748
219	465632
223	195405
228	449766
23	520520
232	432545
237	400758
241	455453
246	422359
250	511269
255	503526
264	535226
269	484958
273	424431
278	538444
28	450789
282	484883
287	403416
291	526590
296	495387
3	441233
304	489417
309	467510
313	545002
318	506377
32	567076
322	425004
327	553845
331	447133
336	427094
340	530748
345	485363
354	520424
359	245723
363	407235
37	506443
41	459612
46	537129
50	456383
55	474783
64	493815
69	468337
73	552660
78	477028
8	441778
82	553332
87	512225
91	428997
96	533177
10	487949
102	564860
107	501840
111	483324
116	539015
120	480499
125	488396
134	490347
139	489710
143	492055
148	445789
15	496899
152	533686
157	515390
161	461167
166	495600
170	489915
175	437610
184	435265
189	413838
193	507426
198	496511
201	485994
206	487993
210	409210
215	226553
224	399261
229	438088
233	454080
238	394409
24	533039
242	456824
247	453983
251	462607
256	523280
260	468093
265	457166
274	452769
279	457691
283	507456
288	430354
29	477380
292	549186
297	513937
300	468421
305	555745
314	473151
319	514297
323	475478
328	498122
33	569777
332	331610
337	463782
341	552655
346	507534
350	454088
355	478717
364	405705
38	535105
4	478437
42	458947
47	542291
51	512507
56	451955
60	564492
65	518309
74	559360
79	493779
83	468001
88	519004
9	457471
92	495549
97	461165
103	555218
108	526055
11	521398
112	457622
117	538317
121	496654
126	468128
130	538311
135	508359
144	493125
149	479913
153	451758
158	532092
16	500065
162	473608
167	421987
171	499545
176	470671
180	490613
185	326471
194	468743
199	513766
20	459393
202	414532
207	483652
211	443487
216	202310
220	437140
225	449946
234	471247
239	422802
243	434550
248	467390
25	537188
252	451162
257	518170
261	484596
266	411837
270	502250
275	475182
284	516171
289	477305
293	473864
298	530999
301	432200
306	550253
310	483207
315	417822
324	493407
329	445802
333	373808
338	471838
34	472623
342	488180
347	543606
351	481726
356	403373
360	321895
365	467587
39	432643
43	503963
48	506209
5	473804
52	538079
57	496612
61	584654
66	538316
70	451483
75	574056
84	438928
89	504537
93	513864
98	440520
