0:0:00	98030
0:10:00	94877
0:20:00	89761
0:30:00	86617
0:40:00	83568
0:50:00	78494
10:0:00	106947
10:10:00	107169
10:20:00	107069
10:30:00	109478
10:40:00	116533
10:50:00	111712
11:0:00	105754
11:10:00	107302
11:20:00	107868
11:30:00	110903
11:40:00	121538
11:50:00	121743
12:0:00	117722
12:10:00	122515
12:20:00	119975
12:30:00	118019
12:40:00	123252
12:50:00	121656
13:0:00	116868
13:10:00	117838
13:20:00	117152
13:30:00	120456
13:40:00	125971
13:50:00	122869
14:0:00	120984
14:10:00	123777
14:20:00	124762
14:30:00	126923
14:40:00	132595
14:50:00	128537
15:0:00	127930
15:10:00	128324
15:20:00	124736
15:30:00	124359
15:40:00	121422
15:50:00	116266
16:0:00	113584
16:10:00	110831
16:20:00	107221
16:30:00	105957
16:40:00	105005
16:50:00	105338
17:0:00	111581
17:10:00	118766
17:20:00	123793
17:30:00	132061
17:40:00	138805
17:50:00	142044
18:0:00	147852
18:10:00	153988
18:20:00	155338
18:30:00	155682
18:40:00	161327
18:50:00	160359
19:0:00	158805
19:10:00	160231
19:20:00	158692
19:30:00	154284
19:40:00	156549
19:50:00	153084
1:0:00	75420
1:10:00	71265
1:20:00	68367
1:30:00	64590
1:40:00	62077
1:50:00	59646
20:0:00	150411
20:10:00	148641
20:20:00	145036
20:30:00	140864
20:40:00	140662
20:50:00	141209
21:0:00	140737
21:10:00	138170
21:20:00	138133
21:30:00	138062
21:40:00	138190
21:50:00	139831
22:0:00	141130
22:10:00	137851
22:20:00	136364
22:30:00	134933
22:40:00	129648
22:50:00	126735
23:0:00	125332
23:10:00	119176
23:20:00	114104
23:30:00	110410
23:40:00	106176
23:50:00	102105
2:0:00	58016
2:10:00	54987
2:20:00	52192
2:30:00	49586
2:40:00	47340
2:50:00	45193
3:0:00	43029
3:10:00	40673
3:20:00	38164
3:30:00	36227
3:40:00	35095
3:50:00	34327
4:0:00	35902
4:10:00	32884
4:20:00	28469
4:30:00	24462
4:40:00	22429
4:50:00	20754
5:0:00	19608
5:10:00	19876
5:20:00	20863
5:30:00	24017
5:40:00	28052
5:50:00	30684
6:0:00	32464
6:10:00	38280
6:20:00	44429
6:30:00	53721
6:40:00	66085
6:50:00	69661
7:0:00	72048
7:10:00	80072
7:20:00	86334
7:30:00	96071
7:40:00	106311
7:50:00	106140
8:0:00	107910
8:10:00	112793
8:20:00	114011
8:30:00	116271
8:40:00	122926
8:50:00	120719
9:0:00	117396
9:10:00	117899
9:20:00	114820
9:30:00	114534
9:40:00	120417
9:50:00	115751
